1_SO248_Alg	10_SO248_Alg	100_SO248_Alg	101_SO248_Alg	102_SO248_Alg	103_SO248_Alg	104_SO248_Alg	105_SO248_Alg	106_SO248_Alg	107_SO248_Alg	108_SO248_Alg	109_SO248_Alg	11_SO248_Alg	110_SO248_Alg	111_SO248_Alg	112_SO248_Alg	113_SO248_Alg	114_SO248_Alg	115_SO248_Alg	116_SO248_Alg	117_SO248_Alg	118_SO248_Alg	12_SO248_Alg	13_SO248_Alg	14_SO248_Alg	15_SO248_Alg	16_SO248_Alg	17_SO248_Alg	18_SO248_Alg	19_SO248_Alg	2_SO248_Alg	20_SO248_Alg	21_SO248_Alg	22_SO248_Alg	23_SO248_Alg	24_SO248_Alg	25_SO248_Alg	26_SO248_Alg	27_SO248_Alg	28_SO248_Alg	29_SO248_Alg	3_SO248_Alg	30_SO248_Alg	31_SO248_Alg	32_SO248_Alg	33_SO248_Alg	34_SO248_Alg	35_SO248_Alg	36_SO248_Alg	37_SO248_Alg	38_SO248_Alg	39_SO248_Alg	4_SO248_Alg	40_SO248_Alg	41_SO248_Alg	42_SO248_Alg	43_SO248_Alg	44_SO248_Alg	45_SO248_Alg	46_SO248_Alg	47_SO248_Alg	48_SO248_Alg	49_SO248_Alg	5_SO248_Alg	50_SO248_Alg	51_SO248_Alg	52_SO248_Alg	53_SO248_Alg	54_SO248_Alg	55_SO248_Alg	56_SO248_Alg	57_SO248_Alg	58_SO248_Alg	59_SO248_Alg	6_SO248_Alg	60_SO248_Alg	61_SO248_Alg	62_SO248_Alg	63_SO248_Alg	64_SO248_Alg	65_SO248_Alg	66_SO248_Alg	67_SO248_Alg	68_SO248_Alg	69_SO248_Alg	7_SO248_Alg	70_SO248_Alg	71_SO248_Alg	72_SO248_Alg	73_SO248_Alg	74_SO248_Alg	75_SO248_Alg	76_SO248_Alg	77_SO248_Alg	78_SO248_Alg	79_SO248_Alg	8_SO248_Alg	80_SO248_Alg	81_SO248_Alg	82_SO248_Alg	83_SO248_Alg	84_SO248_Alg	85_SO248_Alg	86_SO248_Alg	87_SO248_Alg	88_SO248_Alg	89_SO248_Alg	9_SO248_Alg	90_SO248_Alg	91_SO248_Alg	92_SO248_Alg	93_SO248_Alg	94_SO248_Alg	95_SO248_Alg	96_SO248_Alg	97_SO248_Alg	98_SO248_Alg	99_SO248_Alg	119_SO248_Alg	120_SO248_Alg	121_SO248_Alg	122_SO248_Alg	123_SO248_Alg	124_SO248_Alg	125_SO248_Alg	126_SO248_Alg	127_SO248_Alg	128_SO248_Alg	129_SO248_Alg	130_SO248_Alg	131_SO248_Alg	132_SO248_Alg	133_SO248_Alg	134_SO248_Alg	135_SO248_Alg	136_SO248_Alg
sq1	1	291	184	25	30	8	88	21	399	53	260	62	595	5	25	15	22	70	7	17	1	0	2515	2511	5415	2863	5404	4405	2360	2537	3	1812	22	13	28	26	13	13	10	211	8	1	2	2	0	0	0	0	2	5	5	113	0	136	148	410	2045	0	752	2068	3487	4855	860	17	2102	1495	15	8	65	9	15	16	12	13	10	3	3	5	87	9	46	4	2	6	137	11	22	26	6118	14654	6164	15	6	32	7	13	146	13	128	39	32	9929	12492	9905	13998	14680	26083	272	12302	32128	15618	25353	9023	21287	77	8905	20609	11791	38	1202	123	1372	491	559	37232	10358	17864	86	801	261	744	270	284	28634	24881	30598
sq2	855	310	0	2	0	0	16	5	0	1	0	0	1199	0	0	0	0	0	0	8	0	162	1233	1189	2975	773	1213	1514	149	651	979	810	1	0	0	2	0	0	11	101	0	701	1	0	3312	1349	2500	2830	1210	1498	1357	570	1044	643	606	5450	4137	1	2648	2310	2401	4950	883	488	1820	1621	2	0	3	0	1	1	0	0	364	0	0	3	29	1141	13	1202	0	1473	91	729	706	43	2020	131	1669	4	561	7	621	13	447	936	57	404	10	568	25	760	4496	4229	1033	383	4256	40	4309	508	2988	724	6	3343	551	4001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq3	0	226	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	39	0	0	0	0	0	0	0	5	0	0	29	0	0	0	7	8	13	354	255	474	135	25	59	246	0	0	0	0	0	0	0	0	253	0	1	0	0	0	0	0	0	0	0	123	0	0	0	38	223	62	241	0	214	3939	403	855	2165	0	0	0	68	1426	175	1694	245	44	2325	6083	2035	3096	0	0	1	2	6	1	56	1	0	0	43	19	0	0	4	6	10	1880	3930	1324	1767	4290	2570	7	1	0	5814	4649	4486	2756	2508	3566	2	4	0
sq4	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	7	0	0	0	7	8	0	33	31	10	20	3	13	1	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	23	0	0	0	660	231	333	170	0	157	5383	13	1427	5306	0	1	0	413	365	522	465	667	40	449	2512	986	3567	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	2692	11712	1843	2274	8034	2892	1	1	0	2909	3006	1626	769	765	1866	0	1	0
sq5	7	403	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	1	3	0	0	0	2	92	2	0	0	0	0	0	0	11	0	0	37	0	0	0	13	13	9	560	380	535	615	57	190	313	0	0	1	0	0	1	0	1	1149	3	2	0	0	0	0	0	0	0	0	353	0	0	1	318	351	236	310	0	258	965	895	865	952	0	4	0	889	2690	839	2449	1019	421	2536	1268	1441	780	2	3	0	28	27	33	256	5	242	15	273	73	213	0	21	126	51	1808	3459	1267	3056	5994	4571	5	2	0	3495	2156	3866	2602	2354	3677	26	16	4
sq6	29	36	424	1942	255	3074	395	1912	91	267	1796	398	13	1830	305	2264	175	350	1821	247	1292	0	34	29	52	10	23	34	5	4	30	32	238	187	202	147	246	237	250	227	481	34	244	457	466	334	328	433	275	517	385	398	63	483	420	324	266	0	251	259	208	495	177	31	179	211	1313	1339	932	1193	1583	2045	1227	2061	36	2784	2860	2731	44	338	1	397	1	528	36	70	264	20	210	6	185	0	3	0	30	1	34	35	0	14	0	10	0	13	439	277	54	24	267	6	377	54	440	69	0	245	48	436	644	52	542	41	102	47	15	397	10	123	1	68	0	2	3	0	38	0
sq7	1322	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1263	0	0	0	0	0	0	0	9	0	0	1178	0	0	154	68	114	148	11	41	20	12	1566	44	8	0	0	0	0	0	0	0	0	306	0	0	0	0	0	0	0	0	0	0	358	0	0	0	2541	183	2661	25	0	4	33	525	10	955	0	0	0	5771	260	8313	190	5634	231	76	66	22	1960	0	0	0	0	0	0	571	0	0	0	0	0	0	0	0	0	0	2	2297	10	503	2145	1273	0	0	0	19	2166	71	868	4487	3325	1	0	0
sq8	17	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	2	0	0	24	0	0	0	10	24	0	11	39	7	7	33	17	8	0	0	0	0	0	0	1	0	242	0	0	0	0	0	0	0	0	0	0	179	0	0	0	1339	548	621	383	0	278	1466	73	515	429	0	0	0	1732	1402	1008	1089	889	87	861	3493	1821	1295	1	1	1	0	11	0	121	0	2	0	1	0	0	0	0	0	0	425	3062	656	723	1053	841	3	0	1	3129	5135	4725	2355	1631	1971	4	10	1
sq9	464	108	0	0	0	0	1	1	10	0	0	2	499	0	0	0	0	0	0	4	0	0	628	220	1276	993	607	384	402	397	380	182	0	0	1	1	1	0	4	24	0	302	0	0	1116	703	769	997	323	393	400	412	390	252	254	1901	936	0	1217	1453	1322	2120	1165	169	1297	740	0	0	1	0	1	0	0	0	141	0	0	0	18	507	8	588	0	803	21	310	247	12	825	52	551	0	100	1	144	4	131	139	5	66	3	116	11	169	1864	1559	288	172	1873	2	1489	227	1631	271	2	1619	177	1402	365	29	273	25	49	14	67	1028	30	284	4	213	1	13	6	7	393	17
sq10	19	0	298	1765	111	2167	277	2294	0	267	1843	312	0	1932	182	1719	121	228	2214	133	1357	0	4	2	1	2	0	0	0	0	4	39	745	557	564	470	713	618	585	620	650	0	349	744	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1300	1991	2332	2375	2799	3088	1402	2172	0	771	1116	1117	117	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq11	45	0	176	867	124	1210	179	1017	1	218	905	253	0	873	144	1023	138	191	851	84	547	0	9	1	0	2	1	0	0	0	3	174	1999	1947	1901	1570	2581	2120	2097	1891	3488	9	1678	2416	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	6	2	0	0	555	995	1269	1210	1117	1538	886	1324	0	750	727	748	143	1	13	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq12	114	7	1298	430	317	698	1998	583	1	2060	627	1747	97	523	2442	712	2733	4478	1017	2926	557	0	122	84	219	61	30	33	3	4	108	41	491	415	434	341	622	472	472	460	1019	128	500	981	94	89	89	94	32	43	52	7	106	8	15	117	87	0	57	50	21	58	12	36	11	14	200	305	257	323	287	416	300	486	25	502	561	680	44	52	13	56	0	55	12	62	19	8	55	34	34	20	58	18	109	28	5	72	7	16	6	79	26	50	48	58	213	15	91	1	70	16	19	165	0	80	12	39	67	31	40	16	33	47	126	84	86	90	22	64	7	37	13	107	140	194
sq13	13	0	1228	589	294	964	1781	898	0	1952	962	1540	0	857	2315	1185	2844	4256	1525	2963	898	0	2	2	0	2	0	0	0	0	2	39	709	550	581	523	833	611	591	500	1171	2	621	1091	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	2	1	0	290	379	355	483	476	607	343	644	0	663	666	755	86	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq14	25	52	0	0	0	0	1	0	0	1	0	7	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	143	1	0	0	0	0	0	0	2	0	0	51	0	0	7	35	24	23	97	94	65	95	93	45	33	0	1	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	85	0	0	0	578	335	332	302	0	239	762	123	162	698	4	4	0	837	1291	710	1022	892	94	1272	1564	471	660	15	28	3	18	25	7	80	3	251	3	2	24	8	0	1	0	0	325	2584	310	1567	2834	1948	142	19	4	977	2723	1319	2161	2174	4261	249	149	26
sq15	0	0	4	0	0	0	0	1	0	30	7	10	0	1	25	26	12344	3593	3365	8993	6091	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	2	0	0	0	0	0	0	18	75	4	0	0	0	0	0	5	0	0	0	0	4	13	0	6	55	189	0	69	4	82	5	5	82	0	31	47	46	0	0	2	2	0	0	14	4	115	0	0	0	0	0	0	0	2	13
sq16	9	45	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	34	0	1	0	0	0	0	1	4	0	0	19	0	0	1	4	10	4	11	29	12	16	13	6	7	0	0	0	0	0	1	0	0	118	0	0	0	0	0	0	0	0	0	0	110	0	0	0	424	147	240	96	0	82	778	100	268	592	2	3	1	679	428	447	363	645	56	378	1385	725	1224	3	2	1	4	117	14	85	6	1	1	0	5	27	0	9	1	1	308	2057	270	1203	3433	2111	25	18	7	2115	2824	1805	2068	2520	4143	46	80	65
sq17	1	3	1	16	0	2	5	2	2	0	2	10	0	1	0	0	1	0	0	0	0	0	21	3	1	3	138	38	1	72	5	38	0	0	1	0	0	1	0	1	0	3	0	0	0	0	1	0	3	6	2	1	1	6	0	0	6	0	0	1	33	62	1	11	63	22	0	0	1	0	1	0	0	0	8	0	0	0	71	73	28	49	1	43	286	2	59	217	86	102	18	70	432	68	332	101	4	421	519	200	248	462	380	135	452	721	449	12	149	2063	119	2635	670	1179	1	205	1397	340	122	763	102	601	965	623	1845	463	49	426	978	439	833	671	1073	4137	4476	309
sq18	3	0	712	57	578	119	1560	309	0	2194	323	1996	0	221	5490	520	2035	5055	832	2461	588	0	3	0	1	0	0	0	0	0	0	23	28	39	73	38	186	89	121	409	385	1	293	482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	98	155	143	308	330	372	1651	0	649	808	891	16	0	2	0	0	0	1	0	0	0	1	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq19	204	305	0	0	2	0	0	0	0	0	0	0	146	0	0	0	0	0	0	8	0	0	414	538	1064	750	604	882	712	459	582	411	1	0	0	0	1	0	7	55	0	375	0	0	398	338	465	474	436	608	541	466	737	427	445	488	333	0	204	596	487	1217	919	446	747	754	2	1	1	0	0	0	0	0	316	0	0	0	6	192	4	172	0	282	8	674	123	9	166	12	132	1	157	6	343	6	370	475	15	124	0	236	10	257	763	684	82	382	504	15	678	90	591	100	0	677	90	986	405	35	289	14	33	42	16	287	2	846	11	511	5	13	15	9	720	13
sq20	0	0	0	0	0	0	0	1	0	18	1	1	0	2	32	17	11219	3767	3317	7360	5052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	62	5	0	0	0	0	0	1	0	0	0	0	0	8	1	3	52	72	0	40	18	33	8	5	32	0	13	71	26	0	0	0	3	0	0	7	0	51	0	0	0	0	0	0	0	0	3
sq21	0	3	24	5	5	0	19	1	0	4	32	9	47	0	5	2	1	6	0	4	0	0	392	18	838	290	500	23	202	169	0	12	2	0	1	0	2	1	2	2	0	0	0	0	0	0	0	0	2	1	0	66	0	61	2	32	260	0	82	324	432	38	89	1	262	10	0	0	3	0	0	1	0	1	1	0	2	0	2	0	2	1	0	0	16	0	4	2	281	833	193	0	0	1	0	0	34	0	19	14	3	504	730	281	737	842	2039	98	488	1437	512	2013	455	2104	5	268	753	288	15	12	4	10	50	36	2587	610	1967	57	9	12	5	19	19	1694	1676	2698
